Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,3541512.973,4402904.0,4250975.0,3100720.0
dsljson_reflection,4568786.031,2812773.3,4285771.0,3055530.0
gson,1292388.751,1661491.4000000001,1626069.0,1467190.0
jackson,3271106.277,3062368.7,3002959.0,2205590.0
jackson_afterburner,3279600.66,2992402.4,2905609.0,2201700.0
