Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,7050995.48,6276857.5,7753797.0,6593060.0
dsljson_reflection,4762969.756,7774278.699999999,8055707.0,6507480.000000001
gson,2595909.038,5928607.7,5595086.0,4775630.0
jackson,7345729.524,9071771.0,8934596.0,7285010.0
jackson_afterburner,7041974.776,9074195.200000001,9027702.0,7058620.0
