Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,946561.83,917214.4,3277636.0,2714630.0
dsljson_reflection,983252.869,906932.7999999999,3334366.0,2703840.0
gson,444458.106,449993.9,441062.0,222390.0
jackson,511630.778,501005.5,464065.0,259140.00000000003
jackson_afterburner,515502.693,493971.9,465351.0,258790.0
