Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,10343446.755,6283006.6,6302331.0,1074050.0
dsljson_reflection,10183679.63,6253753.100000001,6301548.0,878310.0
gson,639459.352,988355.6000000001,954234.0,672200.0
jackson,6584602.318,6165902.5,6810257.0,5983180.0
jackson_afterburner,6338775.003,6510928.4,6260639.0,6115900.0
