Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,4121514.815,3425305.9,3277411.0,3156820.0
dsljson_reflection,4619939.667,3553355.5,3296605.0,3168770.0
gson,7002220.325,11292690.4,11494773.0,10015150.0
jackson,5049609.185,4192152.4,4342823.0,3818039.9999999995
jackson_afterburner,4647772.024,4325549.3,4024731.0,3924860.0
