Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,220748.717,231141.5,249439.0,272470.0
dsljson_reflection,218474.681,245191.1,253069.0,237310.00000000003
gson,231385.575,239510.5,214100.0,207130.0
jackson,265313.326,249308.4,237449.0,267730.0
jackson_afterburner,247778.139,251186.2,264739.0,226759.99999999997
