Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,54762.956±1191.371,54823.8±1432.3,56670.0±270.0
dsljson_reflection,53621.891±805.901,55036.5±964.1999999999999,55310.0±2280.0
gson,49573.68±794.154,49575.0±2099.2000000000003,50980.0±220.0
jackson,56242.897±171.185,54144.2±1165.6000000000001,55110.0±300.0
jackson_afterburner,54140.122±1124.643,54057.100000000006±1192.8000000000002,54550.0±859.9999999999999
