Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,1312205.215,1505652.4,1536811.0,1476350.0
dsljson_reflection,1277233.861,1482414.0,1468481.0,1581500.0
gson,674706.946,1137193.7,1140887.0,1043510.0
jackson,1184534.863,1428204.7,1441518.0,1397340.0
jackson_afterburner,1255318.248,1450178.8,1431675.0,1542150.0
