Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,918092.322,972465.7,3274219.0,2756180.0
dsljson_reflection,974924.253,951469.9,3334810.0,2803200.0
gson,439967.699,437098.80000000005,419332.0,231130.0
jackson,495377.746,495421.8,476294.0,250840.0
jackson_afterburner,515188.445,491404.5,465376.0,247640.0
