Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,759705.19±69019.559,601847.0±43714.6,578950.0±49980.0
dsljson_reflection,739675.267±20850.797,582377.3±1435.6999999999998,599380.0±31690.0
gson,522468.501±34258.915,424145.60000000003±12943.0,419580.0±7360.0
jackson,509775.777±5689.416,431092.8±1275.3,441110.0±2070.0
jackson_afterburner,563116.285±6239.381,446239.4±318.0,441560.0±1540.0
