Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,433743.866±34489.428,366210.7±12054.699999999999,324420.0±7110.0
dsljson_reflection,558515.867±29705.95,369961.0±1782.8,327870.0±9650.0
gson,161693.704±7357.332,162186.0±1979.7,117550.00000000001±1680.0
jackson,260156.471±43180.314,217067.99999999997±2338.2999999999997,91900.0±1530.0
jackson_afterburner,307003.304±101954.913,224219.4±1384.9,92790.0±1160.0
