Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,764157.422±19426.435,540379.4±19211.4,496270.0±420.0
dsljson_reflection,741739.355±4712.073,514660.99999999994±1769.9,496250.0±680.0
gson,1460677.998±30169.776,1425236.1±12171.1,1267000.0±79720.0
jackson,904134.077±101129.809,635037.6±16664.9,539690.0±5000.0
jackson_afterburner,908595.255±48886.25,598548.6±20200.899999999998,529060.0±7090.0
