Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,2965634.554±298759.27,1035960.7±5976.9,1037850.0±34380.0
dsljson_reflection,2900343.992±226231.748,1104769.1±715.0,1077120.0±590.0
gson,192166.553±25852.698,205388.8±301.2,205600.0±6550.0
jackson,1017809.268±7359.324,741637.2999999999±20807.2,756500.0±2819.9999999999995
jackson_afterburner,1023307.615±2857.488,742941.2999999999±14197.7,744290.0±8350.0
