Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,1225438.305,1324416.9,1322543.0,1268630.0
dsljson_reflection,1274061.818,1314665.5,1302096.0,1288460.0
gson,688341.685,874113.4,936065.0,840160.0
jackson,1150969.425,1445822.9,965110.0,1208670.0
jackson_afterburner,1179536.624,1445387.8,1346600.0,1122430.0
