Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,10206023.437,6199791.8,6354531.0,3062360.0
dsljson_reflection,10238656.964,6298060.8,6238990.0,1119630.0
gson,659219.208,848186.3999999999,926642.0,932440.0
jackson,6032700.42,5646219.600000001,6731590.0,6107089.999999999
jackson_afterburner,6174471.938,6641645.699999999,6627179.0,6437480.000000001
