Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,571643.199±253467.039,743865.5±1522.1,680460.0000000001±9720.0
dsljson_reflection,863353.832±21691.446,751402.0±5859.1,668990.0±12990.0
gson,250007.165±3236.236,297073.39999999997±1843.6,276070.0±1940.0
jackson,603204.327±3186.718,542377.9±4161.4,484900.0±23620.0
jackson_afterburner,602563.023±29354.621,549052.4±10452.5,471750.0±17760.0
