Test,1kb (x1),100kb (x100),1000kb (x1000),10000kb (x10000)
dsljson,543894.659,562038.5,552943.0,194590.0
dsljson_reflection,536148.235,541211.9,590921.0,193619.99999999997
gson,278104.213,278627.0,236074.0,121830.0
jackson,464285.729,447176.50000000006,454792.0,154110.0
jackson_afterburner,461245.326,475580.5,431659.0,153660.0
