Test,1kb (x1),100kb (x100),10000kb (x10000)
dsljson,315633.767±17285.051,142763.8±2673.0,152590.0±2950.0
dsljson_reflection,321495.865±2201.562,146991.4±2013.1,148300.0±1330.0
gson,202977.554±5113.721,121099.4±4673.400000000001,116760.0±350.00000000000006
jackson,306239.841±3369.491,141125.1±2754.2000000000003,143360.0±3489.9999999999995
jackson_afterburner,301460.341±1371.667,145265.3±3134.0,144660.0±610.0
